case,sequence,condition,model,runs,n,before_m,after_m_mean,gain_pct_mean,gain_pct_std,r2_mean
dense_cross_sequence,V103,drop50,Zero,1,694,1.5699103046353353,1.5699103046353353,0.0,0.0,-0.0007774621736695853
dense_cross_sequence,V202,nominal,Zero,1,1795,0.015648287035141577,0.015648287035141577,0.0,0.0,-0.003327374662930982
dense_cross_sequence,V202,drop25,Zero,1,1342,0.015604578756126015,0.015604578756126015,0.0,0.0,-0.0051480153390199845
dense_cross_sequence,V202,drop50,Zero,1,869,0.014595693825546548,0.014595693825546548,0.0,0.0,-0.0009136091113721712
dense_cross_sequence,V103,nominal,Mean,1,1441,1.5456363468339769,1.5456657271168768,-0.0019008535196540777,0.0,-0.0006414577668560906
dense_cross_sequence,V103,drop25,Mean,1,1070,1.5773261554083033,1.577473007664138,-0.009310202289558589,0.0,-0.0013938768162060633
dense_cross_sequence,V103,drop50,Mean,1,694,1.5699103046353353,1.5701093526204137,-0.012678939968147063,0.0,-0.001031254209007182
dense_cross_sequence,V202,nominal,Mean,1,1795,0.015648287035141577,0.016809590244926752,-7.421280087572657,0.0,-0.15777270946323352
dense_cross_sequence,V202,drop25,Mean,1,1342,0.015604578756126015,0.016760696430799568,-7.408836167523503,0.0,-0.1596048979654101
dense_cross_sequence,V202,drop50,Mean,1,869,0.014595693825546548,0.0160694044095963,-10.096886120414128,0.0,-0.2132398485764342
dense_cross_sequence,V103,nominal,Ridge,1,1441,1.5456363468339769,1.5143454048328568,2.024469860922673,0.0,0.03950031669919596
dense_cross_sequence,V103,drop25,Ridge,1,1070,1.5773261554083033,1.5523767201322196,1.581754996614848,0.0,0.030215361150061293
dense_cross_sequence,V103,drop50,Ridge,1,694,1.5699103046353353,1.555994644989613,0.8863983887891447,0.0,0.016885657130743637
dense_cross_sequence,V202,nominal,Ridge,1,1795,0.015648287035141577,0.02470416603746753,-57.87137583806481,0.0,-1.5006300703211908
dense_cross_sequence,V202,drop25,Ridge,1,1342,0.015604578756126015,0.02634447737309172,-68.82530303965721,0.0,-1.8648711591832807
dense_cross_sequence,V202,drop50,Ridge,1,869,0.014595693825546548,0.02909459945493499,-99.33687156420959,0.0,-2.9771490795138558
dense_cross_sequence,V103,nominal,DenseCfC_fixed,3,1441,1.5456363468339769,1.542483635002753,0.20397500600201068,0.17209905479598991,0.0034714176800687926
dense_cross_sequence,V103,drop25,DenseCfC_fixed,3,1070,1.5773261554083033,1.5738508222722605,0.22033066047416616,0.18320928196328,0.0031962736268699907
dense_cross_sequence,V103,drop50,DenseCfC_fixed,3,694,1.5699103046353353,1.5645065200878132,0.3442097635493561,0.25494832143338375,0.006093723133145453
dense_cross_sequence,V202,nominal,DenseCfC_fixed,3,1795,0.015648287035141577,0.026440415296568775,-68.96683475444412,32.162318171893055,-1.968264369445037
dense_cross_sequence,V202,drop25,DenseCfC_fixed,3,1342,0.015604578756126015,0.02716895747748915,-74.10888113095147,35.758839019043236,-2.1755236230908808
dense_cross_sequence,V202,drop50,DenseCfC_fixed,3,869,0.014595693825546548,0.02485186095091793,-70.26844525486156,28.61135887056,-1.9837187950877635
dense_cross_sequence,V103,nominal,DenseCfC_time,3,1441,1.5456363468339769,1.5420352029736604,0.2329877831673007,0.18859062721463196,0.00405015965134244
dense_cross_sequence,V103,drop25,DenseCfC_time,3,1070,1.5773261554083033,1.5733191623466958,0.2540370644250241,0.20611460677945465,0.0038687219852212205
dense_cross_sequence,V103,drop50,DenseCfC_time,3,694,1.5699103046353353,1.5637008226460931,0.39553100396298263,0.29337712416655987,0.007115037767646992
dense_cross_sequence,V202,nominal,DenseCfC_time,3,1795,0.015648287035141577,0.02706172065197814,-72.93727160810163,29.21067103805797,-2.086291513240285
dense_cross_sequence,V202,drop25,DenseCfC_time,3,1342,0.015604578756126015,0.028384404864292213,-81.89792437139081,34.62513919928644,-2.4462258748638974
dense_cross_sequence,V202,drop50,DenseCfC_time,3,869,0.014595693825546548,0.0270878507708824,-85.58796241307199,36.52426545568521,-2.580959987410084
dense_same_sequence_future,V103,nominal,Zero,1,268,1.2771386185040177,1.2771386185040177,0.0,0.0,-0.010029186281220737
dense_same_sequence_future,V103,drop25,Zero,1,194,1.2656376121041237,1.2656376121041237,0.0,0.0,-0.01598445995074327
dense_same_sequence_future,V103,drop50,Zero,1,119,1.1401495795862606,1.1401495795862606,0.0,0.0,-0.012808611091502886
dense_same_sequence_future,V103,nominal,Mean,1,268,1.2771386185040177,1.2768675969209344,0.021220999753390757,0.0,-0.009600555183689075
